time,tau_0,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6,tau_7,tau_8,tau_9
27.550000000010687,-0.02041168138384819,0.13067114353179932,0.1930485342144966,-0.32721883863210677,0.2614046664834022,-0.02941008284687996,-0.04294297844171524,0.16339330305159092,-0.500900045633316,0.28530352878570553
27.55100000001069,-0.024705899879336357,0.13732023537158966,0.1932723794579506,-0.32264048665761946,0.2682929145097732,-0.035951972007751465,-0.05223824828863144,0.17499245446920395,-0.535081118941307,0.3123842732906341
27.55200000001069,-0.024705899879336357,0.13732023537158966,0.1932723794579506,-0.32264048665761946,0.2682929145097732,-0.035951972007751465,-0.05223824828863144,0.17499245446920395,-0.535081118941307,0.3123842732906341
27.55300000001069,-0.024705899879336357,0.13732023537158966,0.1932723794579506,-0.32264048665761946,0.2682929145097732,-0.035951972007751465,-0.05223824828863144,0.17499245446920395,-0.535081118941307,0.3123842732906341
27.554000000010692,-0.024705899879336357,0.13732023537158966,0.1932723794579506,-0.32264048665761946,0.2682929145097732,-0.035951972007751465,-0.05223824828863144,0.17499245446920395,-0.535081118941307,0.3123842732906341
27.555000000010693,-0.024705899879336357,0.13732023537158966,0.1932723794579506,-0.32264048665761946,0.2682929145097732,-0.035951972007751465,-0.05223824828863144,0.17499245446920395,-0.535081118941307,0.3123842732906341
27.556000000010695,-0.024705899879336357,0.13732023537158966,0.1932723794579506,-0.32264048665761946,0.2682929145097732,-0.035951972007751465,-0.05223824828863144,0.17499245446920395,-0.535081118941307,0.3123842732906341
27.557000000010696,-0.024705899879336357,0.13732023537158966,0.1932723794579506,-0.32264048665761946,0.2682929145097732,-0.035951972007751465,-0.05223824828863144,0.17499245446920395,-0.535081118941307,0.3123842732906341
27.558000000010697,-0.024705899879336357,0.13732023537158966,0.1932723794579506,-0.32264048665761946,0.2682929145097732,-0.035951972007751465,-0.05223824828863144,0.17499245446920395,-0.535081118941307,0.3123842732906341
27.5590000000107,-0.024705899879336357,0.13732023537158966,0.1932723794579506,-0.32264048665761946,0.2682929145097732,-0.035951972007751465,-0.05223824828863144,0.17499245446920395,-0.535081118941307,0.3123842732906341
27.5600000000107,-0.024705899879336357,0.13732023537158966,0.1932723794579506,-0.32264048665761946,0.2682929145097732,-0.035951972007751465,-0.05223824828863144,0.17499245446920395,-0.535081118941307,0.3123842732906341
